date,SX5E
2003-08-22,-0.17703576415086184
2003-08-25,-0.1735272348579177
2003-08-26,-0.18390724060841177
2003-08-27,-0.19405795450677374
2003-08-28,-0.18546132982841912
2003-08-29,-0.17991829029195278
2003-09-01,-0.1869353488778407
2003-09-02,-0.17085216324970837
2003-09-03,-0.17125251410263762
2003-09-04,-0.15605737945736667
2003-09-05,-0.15705825658968992
2003-09-08,-0.16578954473675708
2003-09-09,-0.15822291361639343
2003-09-10,-0.16969478532942192
2003-09-11,-0.1837289025011979
2003-09-12,-0.1811011450846984
2003-09-15,-0.19054942521382962
2003-09-16,-0.1873247810711447
2003-09-17,-0.1765371453613043
2003-09-18,-0.17598029372041185
2003-09-19,-0.16805698638562025
2003-09-22,-0.1775598598128784
2003-09-23,-0.2024398455458297
2003-09-24,-0.21011202370923832
